Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
333,1,2,1,1,1,1,1,1,3,3,A,,,,,,,
334,1,2,1,1,2,1,1,1,1,1,B,,,,,,,
335,1,2,1,1,2,1,1,1,1,2,,,,,,,,
336,1,2,1,1,2,1,1,1,1,3,,,,,,,,
337,1,2,1,1,2,1,1,1,2,1,B,,,,,,,
338,1,2,1,1,2,1,1,1,2,2,,,,,,,,
339,1,2,1,1,2,1,1,1,2,3,,,,,,,,
340,1,2,1,1,2,1,1,1,3,1,B,,,,,,,
341,1,2,1,1,2,1,1,1,3,2,,,,,,,,
342,1,2,1,1,2,1,1,1,3,3,,,,,,,,
343,1,2,1,1,3,1,1,1,1,1,B,,,,,,,
344,1,2,1,1,3,1,1,1,1,2,,,,,,,,
345,1,2,1,1,3,1,1,1,1,3,,,,,,,,
346,1,2,1,1,3,1,1,1,2,1,B,,,,,,,
347,1,2,1,1,3,1,1,1,2,2,,,,,,,,
348,1,2,1,1,3,1,1,1,2,3,,,,,,,,
349,1,2,1,1,3,1,1,1,3,1,B,,,,,,,
350,1,2,1,1,3,1,1,1,3,2,,,,,,,,
351,1,2,1,1,3,1,1,1,3,3,,,,,,,,
352,1,2,1,2,1,1,1,1,1,1,,B,362; 363; 28,nnkgs0,1,2,A,
353,1,2,1,2,1,1,1,1,1,2,A,,,,,,,
354,1,2,1,2,1,1,1,1,1,3,A,,,,,,,
355,1,2,1,2,1,1,1,1,2,1,,,,,,,,
356,1,2,1,2,1,1,1,1,2,2,A,,,,,,,
357,1,2,1,2,1,1,1,1,2,3,A,,,,,,,
358,1,2,1,2,1,1,1,1,3,1,,,,,,,,
359,1,2,1,2,1,1,1,1,3,2,A,,,,,,,
360,1,2,1,2,1,1,1,1,3,3,A,,,,,,,
361,1,2,1,2,2,1,1,1,1,1,B,,,,,,,
362,1,2,1,2,2,1,1,1,1,2,,T,352,nnkgs0,1,2,A,
363,1,2,1,2,2,1,1,1,1,3,,T,352,nnkgs0,1,2,A,
364,1,2,1,2,2,1,1,1,2,1,B,,,,,,,
365,1,2,1,2,2,1,1,1,2,2,,,,,,,,
366,1,2,1,2,2,1,1,1,2,3,,,,,,,,
367,1,2,1,2,2,1,1,1,3,1,B,,,,,,,
368,1,2,1,2,2,1,1,1,3,2,,,,,,,,
369,1,2,1,2,2,1,1,1,3,3,,,,,,,,
370,1,2,1,2,3,1,1,1,1,1,B,,,,,,,
371,1,2,1,2,3,1,1,1,1,2,,,,,,,,
372,1,2,1,2,3,1,1,1,1,3,,,,,,,,
373,1,2,1,2,3,1,1,1,2,1,B,,,,,,,
374,1,2,1,2,3,1,1,1,2,2,,,,,,,,
375,1,2,1,2,3,1,1,1,2,3,,,,,,,,
376,1,2,1,2,3,1,1,1,3,1,B,,,,,,,
377,1,2,1,2,3,1,1,1,3,2,,,,,,,,
378,1,2,1,2,3,1,1,1,3,3,,,,,,,,
379,1,2,1,3,1,1,1,1,1,1,,,,,,,,
380,1,2,1,3,1,1,1,1,1,2,A,,,,,,,
381,1,2,1,3,1,1,1,1,1,3,A,,,,,,,
382,1,2,1,3,1,1,1,1,2,1,,,,,,,,
383,1,2,1,3,1,1,1,1,2,2,A,,,,,,,
384,1,2,1,3,1,1,1,1,2,3,A,,,,,,,
385,1,2,1,3,1,1,1,1,3,1,,,,,,,,
386,1,2,1,3,1,1,1,1,3,2,A,,,,,,,
387,1,2,1,3,1,1,1,1,3,3,A,,,,,,,
